country1,country2,n_speeches,freq1,freq2,score
ISR,PSE,1347,7234,4851,5179.1644928610895
ISR,LBN,607,3445,2599,2520.9724597801514
ISR,USA,287,1746,918,1003.4157789215973
BDI,COG,232,840,1612,906.5527623572799
COG,RWA,184,1675,733,869.8491816870998
LBR,SLE,213,794,1053,772.3896873919875
SDN,SSD,188,893,1066,769.4492670704306
LBN,PSE,227,827,727,684.0917961123836
CAF,COG,195,888,708,638.938367265689
FRA,USA,272,594,759,619.3682635372289
IRQ,KWT,147,1692,422,601.7764194415126
IRQ,USA,168,1149,665,583.6959104000509
DJI,SOM,136,427,1136,540.643230719154
IDN,TLS,152,431,1031,503.95729212697296
ERI,SOM,116,582,604,497.31744053758104
COG,UGA,120,1153,369,491.777692351501
GIN,SLE,126,403,651,448.40628453351417
IRQ,ISR,142,585,496,443.82717287479846
ERI,ETH,110,453,420,410.6578948828948
BGD,MMR,81,354,541,405.7370612743126
IRN,LBN,92,641,461,399.2921892716608
AFG,PAK,103,1234,243,382.9158844306721
PSE,USA,115,422,330,336.7266834472715
GIN,LBR,107,342,377,331.4237468413936
ISR,YEM,119,386,346,330.83564213564193
IRN,YEM,85,757,316,321.2026945290411
COG,SLE,99,437,338,319.65482883129926
SDN,TCD,87,457,327,315.712833245186
EGY,ISR,114,246,547,305.3176730676729
IRQ,LBY,108,313,387,297.2253801753803
BIH,HRV,94,424,306,296.1587806414432
CAF,TCD,77,369,313,292.858131189939
MNE,SRB,105,277,291,279.165873015873
DJI,ERI,66,277,331,269.66622057665944
COD,COG,70,198,649,260.4272557925274
IRN,USA,80,446,245,258.3593961541667
AFG,USA,67,927,180,253.87943314848167
RUS,UKR,69,183,609,253.11065465658606
BDI,RWA,83,297,308,248.188659026159
BDI,CAF,81,272,342,244.00788378288374
AGO,COG,74,261,524,240.96501394135345
COG,SDN,74,323,254,234.2645876865952
IRQ,LBN,78,268,268,233.21603805551172
SAU,YEM,74,195,390,232.77589043223722
IND,PAK,67,223,237,227.2095904095904
