LHS	RHS	Rel_Support	Support	Confidence	Lift
{'ISR'}	{'PSE'}	0.1552200967964969	1347	0.6173235563703026	3.6920288230058484
{'ISR'}	{'LBN'}	0.06994699239456095	607	0.2781851512373969	2.9914383425503472
{'USA'}	{'ISR'}	0.03307213643696704	287	0.2344771241830065	0.9325355103850278
{'FRA'}	{'USA'}	0.031343627563954826	272	0.5240847784200385	3.7156925711839004
{'BDI'}	{'COG'}	0.026734270569255588	232	0.5458823529411764	4.929414213135826
{'LBN'}	{'PSE'}	0.026158100944918185	227	0.28128872366790586	1.6823043032323137
{'LBR'}	{'SLE'}	0.02454482599677345	213	0.5933147632311978	10.46501121000068
{'LBN'}	{'ISR', 'PSE'}	0.023738188522701084	206	0.2552664188351921	1.6445449017459515
{'CAF'}	{'COG'}	0.02247061534915879	195	0.37213740458015265	3.360466594117133
{'SDN'}	{'SSD'}	0.021663977875086424	188	0.3241379310344827	8.817771051778186
{'RWA'}	{'COG'}	0.021203042175616502	184	0.5242165242165242	4.733767947087406
