year,speaker_country,mentioned_country,n_meetings,n_speeches,n_mentions,avg_mention_speech,avg_mention_meeting,speaker_member,mentioned_member
1995,AGO,AGO,3,4,35,8.75,11.667,G,G
1995,AGO,BRA,1,1,1,1.0,1.0,G,G
1995,AGO,DZA,1,1,1,1.0,1.0,G,G
1995,AGO,HND,1,1,1,1.0,1.0,G,R
1995,AGO,IND,1,1,1,1.0,1.0,G,G
1995,AGO,URY,1,1,1,1.0,1.0,G,G
1995,AGO,ZWE,1,1,1,1.0,1.0,G,G
1995,ARE,ARE,1,1,2,2.0,2.0,G,G
1995,ARE,ARG,1,1,1,1.0,1.0,G,R
1995,ARE,ISR,1,1,6,6.0,6.0,G,G
1995,ARE,LBN,1,1,2,2.0,2.0,G,G
1995,ARE,PSE,1,1,1,1.0,1.0,G,G
1995,ARG,AGO,3,3,20,6.667,6.667,R,G
1995,ARG,ARG,37,41,72,1.756,1.946,R,R
1995,ARG,AUS,5,6,7,1.167,1.4,R,G
1995,ARG,AUT,1,1,1,1.0,1.0,R,G
1995,ARG,BDI,1,1,2,2.0,2.0,R,G
1995,ARG,BEL,3,3,4,1.333,1.333,R,G
1995,ARG,BEN,1,1,1,1.0,1.0,R,G
1995,ARG,BGD,1,1,1,1.0,1.0,R,G
1995,ARG,BGR,2,3,4,1.333,2.0,R,G
1995,ARG,BHS,1,1,1,1.0,1.0,R,G
1995,ARG,BIH,8,10,27,2.7,3.375,R,G
1995,ARG,BLZ,1,2,3,1.5,3.0,R,G
1995,ARG,BRA,5,7,9,1.286,1.8,R,G
1995,ARG,BRB,1,1,1,1.0,1.0,R,G
1995,ARG,BWA,8,9,9,1.0,1.125,R,R
1995,ARG,CAN,5,8,12,1.5,2.4,R,G
1995,ARG,CHL,1,1,1,1.0,1.0,R,G
1995,ARG,CHN,6,7,7,1.0,1.167,R,P
1995,ARG,COL,2,3,4,1.333,2.0,R,G
1995,ARG,CRI,1,1,1,1.0,1.0,R,G
1995,ARG,CZE,10,12,12,1.0,1.2,R,R
1995,ARG,DEU,10,13,13,1.0,1.3,R,R
1995,ARG,DJI,1,1,1,1.0,1.0,R,G
1995,ARG,DMA,1,1,1,1.0,1.0,R,G
1995,ARG,DNK,3,3,3,1.0,1.0,R,G
1995,ARG,DOM,1,1,1,1.0,1.0,R,G
1995,ARG,DZA,1,1,1,1.0,1.0,R,G
1995,ARG,EGY,5,9,12,1.333,2.4,R,G
1995,ARG,ESH,1,1,1,1.0,1.0,R,G
1995,ARG,ESP,2,2,2,1.0,1.0,R,G
1995,ARG,FIN,1,1,1,1.0,1.0,R,G
1995,ARG,FRA,9,12,12,1.0,1.333,R,P
1995,ARG,GEO,3,4,10,2.5,3.333,R,G
1995,ARG,GHA,3,3,3,1.0,1.0,R,G
1995,ARG,GIN,1,1,1,1.0,1.0,R,G
1995,ARG,GRC,1,1,1,1.0,1.0,R,G
1995,ARG,GRD,1,1,1,1.0,1.0,R,G
1995,ARG,GTM,1,1,1,1.0,1.0,R,G
1995,ARG,GUY,1,1,1,1.0,1.0,R,G
1995,ARG,HND,9,11,11,1.0,1.222,R,R
1995,ARG,HRV,7,9,32,3.556,4.571,R,G
1995,ARG,HTI,6,8,20,2.5,3.333,R,G
1995,ARG,HUN,3,4,5,1.25,1.667,R,G
1995,ARG,IDN,10,11,12,1.091,1.2,R,R
1995,ARG,IND,2,3,4,1.333,2.0,R,G
1995,ARG,IRL,3,4,5,1.25,1.667,R,G
1995,ARG,IRQ,1,1,14,14.0,14.0,R,G
1995,ARG,ISR,5,5,11,2.2,2.2,R,G
1995,ARG,ITA,10,12,12,1.0,1.2,R,R
1995,ARG,JAM,1,1,1,1.0,1.0,R,G
1995,ARG,JOR,1,1,1,1.0,1.0,R,G
1995,ARG,JPN,4,6,11,1.833,2.75,R,G
1995,ARG,KHM,1,1,1,1.0,1.0,R,G
1995,ARG,KNA,1,1,1,1.0,1.0,R,G
1995,ARG,KOR,1,1,1,1.0,1.0,R,G
1995,ARG,KWT,2,2,4,2.0,2.0,R,G
1995,ARG,LBN,2,2,6,3.0,3.0,R,G
1995,ARG,LBR,4,6,19,3.167,4.75,R,G
1995,ARG,LBY,1,1,2,2.0,2.0,R,G
1995,ARG,LKA,2,2,3,1.5,1.5,R,G
1995,ARG,LUX,1,1,1,1.0,1.0,R,G
1995,ARG,LVA,2,3,4,1.333,2.0,R,G
1995,ARG,MAR,1,1,1,1.0,1.0,R,G
1995,ARG,MKD,1,1,3,3.0,3.0,R,G
1995,ARG,MNE,3,3,9,3.0,3.0,R,G
1995,ARG,MOZ,2,3,6,2.0,3.0,R,G
1995,ARG,MWI,1,1,1,1.0,1.0,R,G
1995,ARG,MYS,4,6,8,1.333,2.0,R,G
1995,ARG,NAM,2,2,2,1.0,1.0,R,G
1995,ARG,NGA,10,11,11,1.0,1.1,R,R
1995,ARG,NLD,4,5,6,1.2,1.5,R,G
1995,ARG,NOR,3,3,4,1.333,1.333,R,G
1995,ARG,NZL,4,6,8,1.333,2.0,R,G
1995,ARG,OMN,7,8,8,1.0,1.143,R,R
1995,ARG,PAK,5,7,9,1.286,1.8,R,G
1995,ARG,PHL,1,1,1,1.0,1.0,R,G
1995,ARG,POL,4,5,6,1.2,1.5,R,G
1995,ARG,PRT,2,4,5,1.25,2.5,R,G
1995,ARG,PSE,1,1,1,1.0,1.0,R,G
1995,ARG,ROU,3,3,4,1.333,1.333,R,G
1995,ARG,RUS,9,9,9,1.0,1.0,R,P
1995,ARG,RWA,13,15,41,2.733,3.154,R,R
1995,ARG,SLE,2,3,4,1.333,2.0,R,G
1995,ARG,SLV,1,1,5,5.0,5.0,R,G
1995,ARG,SOM,2,2,2,1.0,1.0,R,G
1995,ARG,SRB,3,3,9,3.0,3.0,R,G
1995,ARG,SVN,2,3,4,1.333,2.0,R,G
1995,ARG,SWE,1,1,1,1.0,1.0,R,G
1995,ARG,TTO,1,1,1,1.0,1.0,R,G
1995,ARG,TUN,1,1,1,1.0,1.0,R,G
1995,ARG,TUR,4,6,8,1.333,2.0,R,G
1995,ARG,UKR,3,4,5,1.25,1.667,R,G
1995,ARG,URY,1,1,1,1.0,1.0,R,G
1995,ARG,USA,12,14,17,1.214,1.417,R,P
