country,year,code
Argentina,1995,ARG
Botswana,1995,BWA
Czech Republic,1995,CZE
Germany,1995,DEU
Honduras,1995,HND
Indonesia,1995,IDN
Italy,1995,ITA
Nigeria,1995,NGA
Oman,1995,OMN
Rwanda,1995,RWA
Botswana,1996,BWA
Chile,1996,CHL
Germany,1996,DEU
Egypt,1996,EGY
Guinea-Bissau,1996,GNB
Honduras,1996,HND
Indonesia,1996,IDN
Italy,1996,ITA
Republic of Korea,1996,KOR
Poland,1996,POL
Chile,1997,CHL
Costa Rica,1997,CRI
Egypt,1997,EGY
Guinea-Bissau,1997,GNB
Japan,1997,JPN
Kenya,1997,KEN
Republic of Korea,1997,KOR
Poland,1997,POL
Portugal,1997,PRT
Sweden,1997,SWE
Bahrain,1998,BHR
Brazil,1998,BRA
Costa Rica,1998,CRI
Gabon,1998,GAB
Gambia,1998,GMB
Japan,1998,JPN
Kenya,1998,KEN
Portugal,1998,PRT
Slovenia,1998,SVN
Sweden,1998,SWE
Argentina,1999,ARG
Bahrain,1999,BHR
Brazil,1999,BRA
Canada,1999,CAN
Gabon,1999,GAB
Gambia,1999,GMB
Malaysia,1999,MYS
Namibia,1999,NAM
Netherlands,1999,NLD
Slovenia,1999,SVN
Argentina,2000,ARG
Bangladesh,2000,BGD
Canada,2000,CAN
Jamaica,2000,JAM
Mali,2000,MLI
Malaysia,2000,MYS
Namibia,2000,NAM
Netherlands,2000,NLD
Tunisia,2000,TUN
Ukraine,2000,UKR
Bangladesh,2001,BGD
Colombia,2001,COL
Ireland,2001,IRL
Jamaica,2001,JAM
Mali,2001,MLI
Mauritius,2001,MUS
Norway,2001,NOR
Singapore,2001,SGP
Tunisia,2001,TUN
Ukraine,2001,UKR
Bulgaria,2002,BGR
Cameroon,2002,CMR
Colombia,2002,COL
Guinea,2002,GIN
Ireland,2002,IRL
Mexico,2002,MEX
Mauritius,2002,MUS
Norway,2002,NOR
Singapore,2002,SGP
Syrian Arab Republic,2002,SYR
Angola,2003,AGO
Bulgaria,2003,BGR
Chile,2003,CHL
Cameroon,2003,CMR
Germany,2003,DEU
Spain,2003,ESP
Guinea,2003,GIN
Mexico,2003,MEX
Pakistan,2003,PAK
Syrian Arab Republic,2003,SYR
Angola,2004,AGO
Benin,2004,BEN
Brazil,2004,BRA
Chile,2004,CHL
Germany,2004,DEU
Algeria,2004,DZA
Spain,2004,ESP
Pakistan,2004,PAK
Philippines,2004,PHL
Romania,2004,ROU
Argentina,2005,ARG
Benin,2005,BEN
Brazil,2005,BRA
Denmark,2005,DNK
Algeria,2005,DZA
Greece,2005,GRC
Japan,2005,JPN
Philippines,2005,PHL
Romania,2005,ROU
United Republic of Tanzania,2005,TZA
Argentina,2006,ARG
Congo,2006,COG
Denmark,2006,DNK
Ghana,2006,GHA
Greece,2006,GRC
Japan,2006,JPN
Peru,2006,PER
