year,speaker_country,country1,country2,n_speeches,freq1,freq2,score
2006,ISR,IRN,LBN,12,61,105,63.25254259409858
2016,CHN,ISR,PSE,9,65,74,62.31016042780748
2014,COD,COG,RWA,6,96,47,59.189560439560445
2016,VEN,ISR,PSE,10,83,55,58.98321678321679
2018,CHN,BGD,MMR,4,54,59,55.88091954022988
2014,CHN,ISR,PSE,10,52,61,54.81168831168831
2017,URY,ISR,PSE,13,57,54,54.597041847041844
2015,CHN,ISR,PSE,7,50,61,54.275
2006,CHN,ISR,PSE,11,59,50,52.60273109243697
2018,SYR,FRA,USA,12,45,72,52.13830058830058
2006,USA,ISR,LBN,7,47,66,51.753921568627455
2019,ISR,IRN,LBN,8,75,43,51.49205794205793
2018,SYR,IRQ,USA,12,41,80,50.329914529914525
2001,COD,COG,RWA,8,141,30,48.3134470198056
2018,USA,IRN,YEM,9,108,46,47.538786359838994
2017,CHN,ISR,PSE,6,39,64,47.11981768231768
2006,SYR,ISR,LBN,5,62,47,47.06132404181185
2015,VEN,ISR,PSE,7,50,44,44.21202522967229
2006,FRA,ISR,LBN,11,48,46,44.0953046953047
1998,GMB,LBY,USA,4,87,30,43.41756965944273
2006,JPN,ISR,LBN,8,46,47,43.32570762570763
2018,ISR,IRN,LBN,6,100,44,40.88212560386473
2002,MYS,ISR,PSE,7,84,29,40.07218271924154
2019,ZAF,ISR,PSE,9,37,44,39.23311688311688
2002,CHN,ISR,PSE,8,50,34,39.227655677655676
2000,COD,COG,UGA,4,52,32,38.57055048969943
2018,PSE,ISR,USA,5,78,27,38.544174779468904
2014,GBR,RUS,UKR,10,25,104,38.3576270221007
2014,USA,RUS,UKR,9,24,114,38.00683760683761
2006,GBR,ISR,LBN,7,31,51,37.03575036075036
2006,JPN,ISR,PSE,9,57,30,36.605699855699854
2000,COD,COG,RWA,4,52,32,36.589115646258506
2006,UGA,COG,SDN,4,40,34,35.966777408637874
2019,SYR,ISR,USA,7,34,50,35.35965608465609
2006,SVK,ISR,LBN,7,34,46,35.278318903318905
2008,CUB,ISR,LBN,3,51,27,35.03478260869565
2018,SYR,ISR,USA,9,41,46,35.028699955015746
2008,CHN,ISR,PSE,8,41,31,34.822649572649574
2014,RUS,UKR,USA,6,84,23,34.81267102462755
2006,PER,ISR,LBN,8,31,42,34.08138528138528
2016,USA,SDN,SSD,7,24,59,33.35238095238095
2018,KWT,SAU,YEM,6,24,59,33.278468899521535
2006,QAT,ISR,LBN,7,25,69,32.69466826080099
2006,CHN,ISR,LBN,6,35,33,31.875324675324674
2000,COD,RWA,UGA,4,32,32,31.21168831168831
2001,COD,BDI,COG,5,20,105,30.916363636363634
2009,USA,ISR,LBN,4,45,24,30.633333333333333
2018,CHN,ISR,PSE,9,22,54,30.51697191697192
2018,SYR,FRA,IRQ,8,30,31,29.525757575757577
2016,VEN,IRQ,LBY,10,31,34,29.4012987012987
2018,RUS,BGD,MMR,4,24,41,29.162481962481962
2011,ZAF,ISR,PSE,4,32,29,29.055383556931545
1995,IDN,BIH,HRV,8,44,28,28.850250626566417
1996,SDN,EGY,ETH,3,23,42,28.63095238095238
2003,SYR,IRQ,USA,5,66,21,28.579040404040406
2012,COD,COG,RWA,2,30,27,28.4175
2015,MYS,ISR,PSE,6,28,31,28.164718614718616
2015,IRN,ISR,PSE,4,36,23,27.76153846153846
2008,VNM,ISR,PSE,8,50,21,27.508713508713505
2008,SYR,ISR,LBN,3,76,17,27.503731211317415
2002,SYR,ISR,LBN,3,40,22,27.502164502164504
2008,ZAF,ISR,PSE,7,39,22,27.432539682539684
2018,GBR,IRN,YEM,7,75,37,26.847619047619045
2007,GBR,ISR,LBN,5,30,38,26.72380952380952
2017,SYR,IRQ,USA,6,23,42,26.69831932773109
2001,USA,COG,RWA,7,51,22,26.523809523809522
2003,USA,AFG,IRQ,3,17,157,26.506860098965365
2001,ZWE,AGO,COG,4,26,85,26.46530612244898
2000,USA,COG,RWA,4,36,27,26.442568542568544
2000,USA,IDN,TLS,6,30,25,26.063865546218484
2014,MYS,ISR,PSE,4,41,20,26.01578947368421
2013,ZAF,ISR,PSE,4,34,23,25.976082740788627
2008,RUS,GEO,USA,4,54,19,25.973809523809525
2018,RUS,IRN,USA,5,30,28,25.642914979757087
2002,ZAF,ISR,PSE,6,38,23,25.448717948717945
2018,GNQ,BGD,MMR,4,24,28,25.42857142857143
2001,COD,COG,UGA,4,85,15,25.36829836829837
2016,ISR,IRN,LBN,5,23,30,25.276862026862027
2014,NAM,ISR,PSE,4,27,29,25.21919191919192
2013,CHN,ISR,PSE,4,26,25,25.08205128205128
2018,SWE,ISR,PSE,8,28,25,24.756132756132757
2012,ZAF,ISR,PSE,4,30,23,24.61346153846154
2011,USA,ISR,LBN,4,26,24,24.589635854341733
2019,RUS,AFG,IRQ,7,53,22,24.520361509835194
2018,USA,SDN,SSD,5,17,49,24.47420814479638
2010,MEX,ISR,LBN,5,48,17,24.446428571428573
2014,IDN,ISR,PSE,4,30,23,24.32051282051282
2016,VEN,ERI,SOM,4,33,26,24.233333333333334
2019,IRN,ISR,USA,6,38,21,24.207575757575757
2016,RUS,UKR,USA,7,35,30,23.928571428571427
2002,GIN,LBR,SLE,4,20,34,23.864285714285714
2006,GHA,ISR,LBN,7,24,25,23.75
2014,LUX,RUS,UKR,6,16,55,23.735930735930733
2019,VEN,COL,USA,3,19,47,23.725775978407555
2019,USA,SDN,SSD,5,20,32,23.634920634920636
2019,IRN,ISR,PSE,5,36,21,23.578205128205127
2018,SYR,TUR,USA,6,22,39,23.549999999999997
2018,USA,IRN,IRQ,3,62,21,23.484848484848484
2006,DNK,ISR,LBN,5,29,23,23.476495726495724
2000,USA,ERI,ETH,4,24,23,23.46153846153846
2018,IRN,ISR,USA,6,21,53,23.35905856595512
2018,CHN,SDN,SSD,5,18,49,23.222710622710622
2012,EGY,ISR,PSE,4,53,17,23.191417278373798
2006,SYR,ISR,PSE,4,72,14,23.130421865715984
2016,SYR,FRA,USA,4,18,33,23.076190476190476
2013,FRA,COG,MLI,8,23,25,23.057142857142853
2019,USA,IRN,YEM,6,62,31,23.033533133533133
2018,POL,SDN,SSD,6,28,44,23.02944277944278
2016,URY,ISR,PSE,7,25,22,23.007142857142856
2017,USA,SDN,SSD,6,19,47,22.990476190476194
2001,USA,LBR,SLE,4,27,21,22.914285714285715
1997,SWE,GIN,SLE,2,16,40,22.85252525252525
2018,RUS,ISR,PSE,8,23,24,22.755555555555553
2009,CHN,ISR,PSE,4,27,20,22.666666666666664
2014,FRA,CAF,MLI,6,29,21,22.4
2013,ISR,IRN,LBN,7,32,22,22.301298701298702
2002,CUB,ISR,USA,5,26,22,22.266666666666666
2006,RUS,ISR,LBN,5,20,29,22.256132756132754
2018,SAU,IRN,YEM,5,31,18,22.20940170940171
2001,ZWE,COG,NAM,2,76,13,22.183694530443756
2019,IDN,ISR,PSE,6,26,24,21.960461760461758
2012,MYS,ISR,PSE,4,29,21,21.925133689839573
2018,KAZ,BGD,MMR,4,18,29,21.904761904761905
2011,CHN,ISR,PSE,5,25,21,21.854545454545455
2007,COG,ISR,LBN,5,22,28,21.84143692564745
2019,IRN,PSE,USA,5,22,27,21.805860805860803
2003,SYR,IRQ,ISR,4,57,14,21.61413043478261
2014,LTU,RUS,UKR,5,14,67,21.56546062633019
2015,RUS,UKR,USA,6,30,21,21.503030303030304
2001,FRA,BDI,COG,4,17,36,21.465608465608465
2000,NLD,ERI,ETH,4,21,22,21.444444444444443
2006,TZA,ISR,LBN,6,25,22,21.38095238095238
2017,BOL,ISR,PSE,7,33,16,21.33333333333333
2006,ARG,ISR,LBN,6,24,25,21.32792207792208
2017,ZAF,ISR,PSE,4,29,18,21.30598290598291
2008,FRA,DJI,ERI,2,20,23,21.304347826086957
2013,IRN,ISR,PSE,4,48,14,21.12608695652174
2016,RUS,IRQ,USA,7,16,38,21.03968253968254
2001,SGP,LBR,SLE,4,29,22,21.007142857142856
2019,GNQ,ISR,PSE,5,26,18,20.907575757575756
2013,IND,ISR,PSE,4,18,26,20.879738562091504
2008,LBY,ISR,LBN,4,32,18,20.85576923076923
2015,ISR,IRN,LBN,5,48,16,20.797619047619047
2013,KOR,ISR,PSE,4,23,19,20.763125763125764
2014,IRN,ISR,PSE,3,34,15,20.701754385964914
2011,NGA,SDN,SSD,4,25,18,20.69090909090909
2004,FRA,BDI,COG,3,21,22,20.678571428571427
2006,JPN,AFG,PAK,2,50,13,20.63157894736842
2014,RWA,RUS,UKR,6,14,42,20.392857142857146
2013,CUB,ISR,PSE,4,22,19,20.350427350427353
2006,MYS,ISR,PSE,3,28,16,20.298039215686273
2017,SWE,ISR,PSE,6,31,16,20.259163059163058
2014,NGA,ISR,PSE,6,24,18,20.078571428571426
2019,ISR,IRN,IRQ,4,48,16,20.049783549783548
2000,MYS,IDN,TLS,6,26,19,20.018686868686867
2015,SYR,SAU,TUR,6,18,26,19.990909090909092
2013,IDN,ISR,PSE,4,25,19,19.974747474747474
2015,VEN,IRQ,LBY,8,20,23,19.895238095238096
2010,USA,ISR,LBN,4,30,16,19.833333333333332
2012,IND,ISR,PSE,4,23,21,19.79422799422799
2011,CHN,SDN,SSD,3,23,20,19.757575757575758
2014,ZAF,ISR,PSE,4,22,21,19.715121136173767
2008,USA,ISR,LBN,4,24,20,19.69551282051282
2017,CHN,SDN,SSD,5,13,49,19.613186813186815
2010,CHN,ISR,PSE,4,22,18,19.54285714285714
2002,SYR,IRQ,ISR,3,26,16,19.2375
2014,IRN,ISR,LBN,4,36,15,19.21855921855922
2016,IDN,ISR,PSE,4,18,23,19.16510989010989
1996,EGY,ETH,SDN,3,12,56,19.131135920609605
2019,POL,SDN,SSD,4,26,25,19.12550505050505
2018,USA,ISR,LBN,4,21,21,19.0
2015,SYR,IRQ,TUR,6,20,21,18.939682539682536
2001,ZWE,COG,RWA,3,94,11,18.928822518831772
2017,RUS,IRQ,USA,5,17,25,18.91142191142191
2019,USA,IRQ,KWT,5,51,13,18.886583223539745
2019,KWT,SAU,YEM,6,15,27,18.864285714285714
2011,EGY,ISR,PSE,3,46,12,18.761904761904763
2006,JPN,LBN,PSE,5,27,15,18.755555555555556
2012,CHN,ISR,PSE,4,23,17,18.755128205128205
2016,SEN,ISR,PSE,5,20,19,18.75
2013,PAK,ISR,PSE,3,21,17,18.67822966507177
2006,GBR,SDN,TCD,3,64,11,18.504495504495505
