year,country1,country2,n_speeches,freq1,freq2,score
2006,ISR,LBN,140,711,795,674.4782938400848
2014,ISR,PSE,124,664,505,525.419422845816
2013,ISR,PSE,104,561,425,448.7403116722944
2015,ISR,PSE,96,485,424,416.3977200903671
2016,ISR,PSE,93,484,368,378.08816755140293
2011,ISR,PSE,95,547,334,373.6836792120847
2017,ISR,PSE,97,452,337,356.6262556887556
2019,ISR,PSE,91,424,334,340.6928016428016
2018,ISR,PSE,103,399,363,336.7261571761571
2012,ISR,PSE,77,466,292,319.27523725097086
2002,ISR,PSE,87,485,282,315.5019679494911
2006,ISR,PSE,73,430,239,275.4515024191495
2008,ISR,LBN,63,417,242,274.4968443783436
2018,BGD,MMR,44,218,312,244.08619661609524
2001,LBR,SLE,52,243,331,238.76475477137237
2008,ISR,PSE,61,417,187,228.96708449266
2007,ISR,LBN,47,270,237,217.56606230027288
1996,ISR,LBN,49,232,283,217.29828855355169
2010,ISR,PSE,54,383,161,202.8623376623377
2011,SDN,SSD,33,251,184,189.24763374105143
2001,COG,RWA,43,491,134,188.01196083057928
2004,BDI,COG,36,172,215,172.43771277741874
2019,ISR,USA,39,253,151,162.0673007275949
2014,RUS,UKR,41,113,416,161.9163300269674
2000,ERI,ETH,36,158,161,159.15850815850817
2009,ISR,LBN,38,255,125,157.980015877842
1995,BIH,HRV,44,172,183,153.82888047624894
2000,IDN,TLS,45,170,159,152.94930396400986
2018,ISR,USA,38,213,177,152.10379477230128
2001,GIN,SLE,36,126,267,150.9431004953301
2018,SDN,SSD,40,133,263,150.84277568836387
2001,BDI,COG,35,122,403,150.29812031333856
2014,ISR,LBN,39,175,170,149.61365301365302
2010,ISR,LBN,40,321,110,147.56349428349432
2009,ISR,PSE,40,237,127,146.3899067599068
2017,ERI,SOM,30,178,155,139.89218637997413
2003,IRQ,USA,31,336,97,139.17824538206892
2018,IRN,YEM,34,338,142,137.14149566254832
1998,IND,PAK,26,137,137,136.86153846153846
2002,IRQ,KWT,32,422,88,132.2029824489508
2000,COG,SLE,34,219,134,132.05246175393236
2008,DJI,ERI,26,133,134,127.43002621546503
2017,SDN,SSD,37,102,225,126.22812187812191
2002,LBR,SLE,27,152,164,124.60471672539984
2002,ISR,USA,35,204,119,124.270463741052
2006,LBN,PSE,34,212,99,123.81005563064387
2010,DJI,SOM,27,118,217,122.7859514754252
2006,BDI,COG,33,106,180,122.57994546217456
2008,SDN,TCD,30,147,124,120.468361050714
2009,DJI,SOM,34,80,290,118.83266298544936
1998,LBY,USA,22,251,82,117.74551850797984
2001,COG,UGA,25,346,81,114.58371001553513
2002,ERI,ETH,27,114,114,113.54224386724387
2007,ISR,PSE,32,190,90,110.21093024622441
2001,ISR,PSE,27,157,99,108.1091491841492
2000,DJI,SOM,20,81,172,107.54167221667224
2011,ISR,LBN,27,160,95,107.29548556019144
1995,MNE,SRB,36,103,105,103.84444444444445
2004,LBR,SLE,33,116,104,101.94487179487183
2018,ISR,LBN,27,105,108,99.21443001443002
2014,CAF,MLI,33,111,95,97.17142857142859
2017,BGD,MMR,24,84,137,97.02558993294289
2015,IRQ,LBY,35,102,116,96.21904761904764
2013,ISR,LBN,28,165,84,94.96840381840383
2018,IRN,USA,27,124,104,94.48466865092252
2001,IRQ,KWT,19,245,62,91.28657505389309
