year,mentioned_country,n_meetings,n_speeches,n_mentions,n_speaker_countries,avg_speech_country,avg_speech_meeting,avg_mention_country,avg_mention_meeting,avg_mention_speech,mentioned_member
1995,AFG,4,7,8,7,1.0,1.75,1.1428571428571428,2.0,1.1428571428571428,G
1995,AGO,15,74,580,36,2.0555555555555554,4.933333333333334,16.11111111111111,38.666666666666664,7.837837837837838,G
1995,ARE,4,6,17,2,3.0,1.5,8.5,4.25,2.8333333333333335,G
1995,ARG,64,140,175,48,2.9166666666666665,2.1875,3.6458333333333335,2.734375,1.25,R
1995,ARM,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,AUS,8,12,16,4,3.0,1.5,4.0,2.0,1.3333333333333333,G
1995,AUT,1,3,5,2,1.5,3.0,2.5,5.0,1.6666666666666667,G
1995,AZE,1,1,3,1,1.0,1.0,3.0,3.0,3.0,G
1995,BDI,11,28,169,15,1.8666666666666667,2.5454545454545454,11.266666666666667,15.363636363636363,6.035714285714286,G
1995,BEL,6,9,11,6,1.5,1.5,1.8333333333333333,1.8333333333333333,1.2222222222222223,G
1995,BEN,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,BGD,6,7,7,5,1.4,1.1666666666666667,1.4,1.1666666666666667,1.0,G
1995,BGR,7,10,12,5,2.0,1.4285714285714286,2.4,1.7142857142857142,1.2,G
1995,BHS,1,2,2,2,1.0,2.0,1.0,2.0,1.0,G
1995,BIH,44,251,796,33,7.606060606060606,5.704545454545454,24.12121212121212,18.09090909090909,3.1713147410358564,G
1995,BLZ,1,2,3,1,2.0,2.0,3.0,3.0,1.5,G
1995,BRA,11,30,39,10,3.0,2.727272727272727,3.9,3.5454545454545454,1.3,G
1995,BRB,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,BRN,2,3,3,1,3.0,1.5,3.0,1.5,1.0,G
1995,BWA,63,94,101,23,4.086956521739131,1.492063492063492,4.391304347826087,1.6031746031746033,1.074468085106383,R
1995,CAF,2,5,9,4,1.25,2.5,2.25,4.5,1.8,G
1995,CAN,13,27,41,9,3.0,2.076923076923077,4.555555555555555,3.1538461538461537,1.5185185185185186,G
1995,CHE,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
